Plate, 4
Well, 1
Count, 172
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.007, 0
0.010, 0.007 to 0.013, 0
0.017, 0.013 to 0.020, 0
0.023, 0.020 to 0.027, 0
0.030, 0.027 to 0.033, 0
0.037, 0.033 to 0.040, 0
0.043, 0.040 to 0.047, 0
0.050, 0.047 to 0.053, 0
0.057, 0.053 to 0.060, 0
0.063, 0.060 to 0.067, 0
0.070, 0.067 to 0.073, 0
0.077, 0.073 to 0.080, 0
0.083, 0.080 to 0.087, 0
0.090, 0.087 to 0.093, 0
0.096, 0.093 to 0.100, 0
0.103, 0.100 to 0.106, 3
0.110, 0.106 to 0.113, 4
0.116, 0.113 to 0.120, 12
0.123, 0.120 to 0.126, 18
0.130, 0.126 to 0.133, 18
0.136, 0.133 to 0.140, 15
0.143, 0.140 to 0.146, 15
0.150, 0.146 to 0.153, 18
0.156, 0.153 to 0.160, 12
0.163, 0.160 to 0.166, 4
0.170, 0.166 to 0.173, 5
0.176, 0.173 to 0.180, 5
0.183, 0.180 to 0.186, 8
0.190, 0.186 to 0.193, 5
0.196, 0.193 to 0.200, 5
0.203, 0.200 to 0.206, 2
0.210, 0.206 to 0.213, 3
0.216, 0.213 to 0.220, 4
0.223, 0.220 to 0.226, 2
0.230, 0.226 to 0.233, 3
0.236, 0.233 to 0.240, 3
0.243, 0.240 to 0.246, 4
0.250, 0.246 to 0.253, 0
0.256, 0.253 to 0.260, 0
0.263, 0.260 to 0.266, 0
0.270, 0.266 to 0.273, 1
0.276, 0.273 to 0.279, 0
0.283, 0.279 to 0.286, 0
0.289, 0.286 to 0.293, 0
0.296, 0.293 to 0.299, 0
0.303, 0.299 to 0.306, 1
0.309, 0.306 to 0.313, 1
0.316, 0.313 to 0.319, 0
0.323, 0.319 to 0.326, 0
0.329, 0.326 to 0.333, 1


Plate, 4
Well, 2
Count, 101
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.007, 0
0.010, 0.007 to 0.013, 0
